inputUrl,caption,hashtags,commentsCount,url,videoViewCount,likesCount,timestamp,latestCommentsText
https://www.instagram.com/marutisuzukiofficial/,"Buckle Up! Don't let the precious adventures of life cut short. Seatbelts are the superheroes of every car ride.
#MarutiSuzuki #DrivenBySafety","MarutiSuzuki, DrivenBySafety",5,https://www.instagram.com/p/DH5lyvcvLrB/,1938,156,2025-04-01T11:30:54.000Z,Please check the dm || Sir please check the dm 😢
https://www.instagram.com/marutisuzukiofficial/,"Gear up for a prosperous year! Welcome Ugadi and Gudi Padwa with a car that’s road-ready.

Schedule your car service today with Maruti Suzuki Service.

#Ugadi #GudiPadwa #MarutiSuzuki #MarutiSuzukiService","Ugadi, GudiPadwa, MarutiSuzuki, MarutiSuzukiService",2,https://www.instagram.com/p/DHwT8eaI9GV/,1854,179,2025-03-29T12:30:13.000Z,
https://www.instagram.com/marutisuzukiofficial/,"Outperform on every road and turn heads at every turn with Maruti Suzuki.

#MarutiSuzuki #Performance #Arena #Nexa","MarutiSuzuki, Performance, Arena, Nexa",3,https://www.instagram.com/p/DHv0JDTPhXQ/,2871,248,2025-03-28T15:30:06.000Z,"@marutisuzukiofficial Suzuki really needs to start considering an idea of launching “Fortuner” with Suzuki badging in less price. It will be a game changer , for sure because people are looking for innovative SUV’s like Adas features along with safety assurance like 5 star ⭐️ NCAP ratings. coming in Petrol & diesel & especially in Hybrid fuel ⛽️.
Or if not fortuner then bring something similar , similar to fortuner size. || 🙌"
https://www.instagram.com/marutisuzukiofficial/,"Join our journey on @marutisuzukiofficial as we set out to make more memories!

#MarutiSuzuki #Journey #Memories #Arena #Nexa","MarutiSuzuki, Journey, Memories, Arena, Nexa",3,https://www.instagram.com/p/DIONsK-vwxh/,822235,12670,2025-04-09T10:15:11.000Z,"😮xxxxxxxxxxxxxzcxzxxxxxxzxx""?🔥x || इचठ || 🔥🔥"
https://www.instagram.com/marutisuzukiofficial/,"Extend your car’s care like never before!

Get up to 6 years of warranty coverage with Maruti Suzuki’s Extended Warranty plans—now with easy EMI options and high-value parts covered.

🛠️ Available online or at your nearest dealership.
🚗 For vehicles sold before 9th July 2024, extended warranty is available up to 5 years / 1,00,000 km.

#MarutiSuzukiService #ExtendedWarranty #ByYourSide #FactfulFridays","MarutiSuzukiService, ExtendedWarranty, ByYourSide, FactfulFridays",4,https://www.instagram.com/p/DITm5aShpVh/,1647,141,2025-04-11T12:31:40.000Z,Waste || @a.t.rayudu Told on 8:40 PM that are you guys crazy? You make your team (CSK) look like you make your @ferrari with Maruti 800 engine. How he should the rights to tell this in national tv??? || 6 years or 5 years ? || 😍😍😍
https://www.instagram.com/marutisuzukiofficial/,"This World Health Day, don’t just focus on your own health—think about your car’s too! 💪🚗

At Maruti Suzuki Service, we give your car its own balanced diet for a smooth, healthy drive.

Maruti Suzuki Service stands #ByYourSide.

#MarutiSuzukiService #MarutiSuzuki #HealthDay","ByYourSide., MarutiSuzukiService, MarutiSuzuki, HealthDay",3,https://www.instagram.com/p/DIIqeQYKx-g/,1380,132,2025-04-07T06:31:23.000Z,"I love you maruti ❤️ but I can't afford you 😔 || We have been defrauded by maruti Suzuki Nexa showroom in Akshardham - Fair Deal Nexa dealer, we were delivered a faulty car with a gear and transmission issue, it has been a month and a half, car is continuously going from one workshop to another - Vikrant - +919999399202 - the GM of sales and Sumit - +91 98718 88879‬ - Salas associate are involved in the fraud. They have delivered a defective car and have been rolling on since a month that car will be fine."
https://www.instagram.com/marutisuzukiofficial/,"As you celebrate the harvest of joy, prosperity, and new beginnings, don’t forget to give your car a little love too! 🛠️✨

This Baisakhi, drive into the new season with a ride that’s as refreshed as your festive spirit. Whether it’s a quick check-up or a full service, we’ve got your journey covered.

#Baisakhi #MarutiSuzuki #MarutiSuzukiService","Baisakhi, MarutiSuzuki, MarutiSuzukiService",0,https://www.instagram.com/p/DIYH9ebqf8r/,890,81,2025-04-13T06:37:26.000Z,
https://www.instagram.com/marutisuzukiofficial/,"Book your car service effortlessly through WhatsApp! 📲🚗

Just text “Hi” to 9289311487, follow the simple steps, and schedule your appointment in minutes. ✅

Stay tuned for more useful tips on #FactfulFridays!

#MarutiSuzukiService #MarutiSuzuki #ByYourSide","FactfulFridays!, MarutiSuzukiService, MarutiSuzuki, ByYourSide",6,https://www.instagram.com/p/DIBXfpdKjHF/,3186,233,2025-04-04T12:30:57.000Z,Eeco mei Power steering aa jaye ❤️ || 😍😍
https://www.instagram.com/marutisuzukiofficial/,"We’re all set for a star-studded evening designed to dazzle die-hard fans! Are you ready to be FANtertained at #MarutiSuzukiZCA?

#MarutiSuzuki #ZeeCineAwards #AwardShow #Event #Nexa #Arena","MarutiSuzukiZCA?, MarutiSuzuki, ZeeCineAwards, AwardShow, Event, Nexa, Arena",4,https://www.instagram.com/p/DHxwQOnPHTl/,2668,181,2025-03-30T03:30:10.000Z,Can I also be a part of this? @marutisuzukiofficial
https://www.instagram.com/marutisuzukiofficial/,"Take control of the road with precision and ease! 6-speed automatic transmission with paddle shifters makes every drive a joyride. Experience it for yourself! 
#MarutiSuzuki #Automatic #6AT #PaddleShifters","MarutiSuzuki, Automatic, 6AT, PaddleShifters",25,https://www.instagram.com/p/DHq1Phpvx0q/,1083493,10557,2025-03-26T16:28:01.000Z,", mm || నాట్ సేఫ్టీ కార్.. 😆 || #freepalestine🇵🇸 || #freepalestine🇵🇸 || Bakwas company"
