post_url,post_date,text,total_reactions,likes,love,celebrate,comments,reposts,media_urls
https://www.linkedin.com/posts/audi-ag_audi-vorsprungdurchtechnik-audia6-activity-7326622028403281920-QljJ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-09 17:00:13,Recharging at home ++ Because even icons need downtime. The all-new Audi A6 Sedan e-hybrid.​  #Audi #VorsprungDurchTechnik #AudiA6 #hybrid​ ---------- Audi A6 Sedan e-hybrid: Fuel consumption combined (weighted) in l/100 km: 2.8-2.1; Power consumption combined (weighted) in kWh/100km: 16.1-15.0; CO₂ emissions combined (weighted) in g/km: 63-48; CO ₂class combined (weighted): B; Fuel consumption with discharged battery in l/100 km: 7.5-6.5; CO₂ class with discharged battery: F-E.,386,370,12,1,12,12,https://media.licdn.com/dms/image/v2/D4E22AQFGzpBhX1zc8A/feedshare-shrink_2048_1536/B4EZaki8ZfHYAs-/0/1746517349544?e=1749686400&v=beta&t=aZ8Y7wIyTJ03Da72SndsQdla9BB8HqjjYAHoabirVmQ
https://www.linkedin.com/posts/audi-ag_audi-vorsprungdurchtechnik-audia6-activity-7326259604185563138-BN3V?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-08 17:00:04,"Sleek meets smart ++ Aerodynamics that don’t just look fast, they think ahead. The all-new Audi A6 e-hybrid models.​  #Audi #VorsprungDurchTechnik #AudiA6 #hybrid​ ------ Audi A6 Avant e-hybrid: Fuel consumption combined (weighted) in l/100 km: 2.9-2.2; Power consumption combined (weighted) in kWh/100km: 16.3-15.2; CO₂ emissions combined (weighted) in g/km: 66-51; CO ₂class combined (weighted): B; Fuel consumption with discharged battery in l/100 km: 7.7-6.7; CO₂ class with discharged battery: F-E.",184,176,8,0,7,3,https://media.licdn.com/dms/image/v2/D4E22AQFMXu35FhrWBw/feedshare-shrink_2048_1536/B4EZakiuvqGQAo-/0/1746517293234?e=1749686400&v=beta&t=_C4GY8A--XQ15oxSq_cr0lgXAWhSL9AF3bp3m5ysJ9E
https://www.linkedin.com/posts/audi-ag_audi-vorsprungdurchtechnik-audia6-activity-7325549912798994432-CazU?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-06 18:00:01,It’s not about choosing a side ++ It’s about choosing progress. Meet the all-new Audi A6 Sedan e-hybrid. ​  #Audi #VorsprungDurchTechnik #AudiA6 #hybrid​ ---------- Audi A6 Sedan e-hybrid: Fuel consumption combined (weighted) in l/100 km: 2.8-2.1; Power consumption combined (weighted) in kWh/100km: 16.1-15.0; CO₂ emissions combined (weighted) in g/km: 63-48; CO ₂class combined (weighted): B; Fuel consumption with discharged battery in l/100 km: 7.5-6.5; CO₂ class with discharged battery: F-E.​,449,421,25,0,30,13,https://media.licdn.com/dms/image/v2/D4E22AQEyFxmuti3vUQ/feedshare-shrink_1280/B4EZakiBatHoAk-/0/1746517107777?e=1749686400&v=beta&t=PcZAmWND5VUVEidACRcEUJ1WC1cjMeFxDyKiFauC-Ng
https://www.linkedin.com/posts/audi-ag_audi-vorsprungdurchtechnik-audia6-activity-7325497075343810563-J8YP?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-06 14:30:03,All the strength when you want it ++ All the range when you need it. Introducing the all-new Audi A6 Avant e-hybrid. ​  #Audi #VorsprungDurchTechnik #AudiA6 #hybrid​ ---------- Audi A6 Avant e-hybrid: Fuel consumption combined (weighted) in l/100 km: 2.9-2.2; Power consumption combined (weighted) in kWh/100km: 16.3-15.2; CO₂ emissions combined (weighted) in g/km: 66-51; CO ₂class combined (weighted): B; Fuel consumption with discharged battery in l/100 km: 7.7-6.7; CO₂ class with discharged battery: F-E.​,461,439,19,2,14,13,https://media.licdn.com/dms/image/v2/D4E22AQH8aEQ45Usw9g/feedshare-shrink_1280/B4EZakh4JMHkAk-/0/1746517069951?e=1749686400&v=beta&t=C2ftkvMUofGmK8eoHE2OFJtKAAxscIXFMNRGMgX8kNM
https://www.linkedin.com/posts/audi-ag_careerinformationday-apprenticeship-dualstudy-activity-7325054016177008640-CJ7l?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-05 09:09:30,"Explore your future ++ Audi Ingolstadt is hosting a #CareerInformationDay on May 10th, offering a detailed overview of our diverse #apprenticeship and #DualStudy opportunities.   Participants will also have the exclusive chance to see the iconic Audi S1 #Hoonitron from Ken Block's #Electrikhana. Join us to learn more about building your career with Audi.​ ​ Date: ​ May 10th, 2025 | 9:00 - 14:00 CEST ​ ​ Venue: ​ Audi Bildungszentrum​ Hindemithstraße 27​ 85057 Ingolstadt​ ​ ​#AudiCareers​ --------------------​ The vehicle shown is a concept vehicle that is not available as a production model.",404,393,6,4,8,15,https://media.licdn.com/dms/image/v2/D4E22AQGJGi8b890lMw/feedshare-shrink_1280/B4EZafRz7wHcAo-/0/1746428969471?e=1749686400&v=beta&t=MO3SNSXT46DTRQ-0_xi3VL_sbF5HyKtOqvGdFiFfB4Y
https://www.linkedin.com/posts/audi-ag_audi-vorsprungdurchtechnik-audia3-activity-7324447667751698432-Dihw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-03 17:00:05,"Bloom season ++ But make it sporty with the Audi S3 Sedan. ​  #Audi #VorsprungDurchTechnik #AudiA3​ ----------- Audi S3 Sedan: Fuel consumption combined in l/100 km: 8.5–8.1, CO₂ emissions combined in g/km: 193-185. CO₂ class: G.",593,564,23,6,12,14,https://media.licdn.com/dms/image/v2/D4D22AQEQxxW6gBaYdA/feedshare-shrink_2048_1536/B4DZaFgZ7IGcA4-/0/1745996588309?e=1749686400&v=beta&t=ppomtMuXSVCBCc9YaXL50UhNrGK437mQcMapwN3PXn4
https://www.linkedin.com/posts/audi-ag_from-uncertainty-to-dream-apprenticeship-activity-7326138873405710338-KMFF?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-08 09:00:20,"Emilia's journey at Audi ++ This insightful #interview shares Emilia's experience as a first-year Manufacturing Mechanic apprentice at Audi.   Discover her enthusiasm for continuously learning new techniques and exploring various departments within the company.   Emilia reveals what ignited her passion for this path, what she values most about her #apprenticeship, and the unique team spirit she's found at Audi – the very reasons she now looks forward to her workday.​ ​ Learn how Emilia transitioned from initial uncertainty to finding her ideal #career. Read her story to gain valuable perspectives on vocational training in the automotive industry and the supportive culture at Audi: https://lnkd.in/en5dqdbr ​ #AudiCareers",127,115,5,3,8,3,
https://www.linkedin.com/posts/audi-ag_audi-vorsprungdurchtechnik-audia6-activity-7325889684595773444-iOuB?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-07 16:30:09,Connect where you disconnect ++ The Audi A6 e-hybrid models featuring next generation plug-in hybrid technology and public charging options.​  #Audi #VorsprungDurchTechnik #AudiA6 #hybrid​ ----------- Audi A6 Sedan e-hybrid: Fuel consumption combined (weighted) in l/100 km: 2.8-2.1; Power consumption combined (weighted) in kWh/100km: 16.1-15.0; CO₂ emissions combined (weighted) in g/km: 63-48; CO ₂class combined (weighted): B; Fuel consumption with discharged battery in l/100 km: 7.5-6.5; CO₂ class with discharged battery: F-E.​  Audi A6 Avant e-hybrid: Fuel consumption combined (weighted) in l/100 km: 2.9-2.2; Power consumption combined (weighted) in kWh/100km: 16.3-15.2; CO₂ emissions combined (weighted) in g/km: 66-51; CO ₂class combined (weighted): B; Fuel consumption with discharged battery in l/100 km: 7.7-6.7; CO₂ class with discharged battery: F-E.​,728,686,34,5,23,15,"https://media.licdn.com/dms/image/v2/D4E22AQFOhM6mr7oK4w/feedshare-shrink_2048_1536/B4EZakiXyiHkAo-/0/1746517200732?e=1749686400&v=beta&t=T1-P8cvTtgAHqAMHRxp2NtBLQwrhhN3IQwUKI0KAkL4, https://media.licdn.com/dms/image/v2/D4E22AQGvm9S6J71_yw/feedshare-shrink_2048_1536/B4EZakiXybHoAo-/0/1746517201064?e=1749686400&v=beta&t=OuxJqWbsJSl978vIw8v1VG87VItV-1TjspfI3Qwiv9k, https://media.licdn.com/dms/image/v2/D4E22AQGanlXGm8CYHA/feedshare-shrink_2048_1536/B4EZakiXxeHcAs-/0/1746517201388?e=1749686400&v=beta&t=J46n603JPoeX1FfDiu5A1WzpgrRV9yeplYvx0FEc_Cc, https://media.licdn.com/dms/image/v2/D4E22AQFJ5UAYM3hq2A/feedshare-shrink_2048_1536/B4EZakiXzZHIAs-/0/1746517201605?e=1749686400&v=beta&t=evzofzKu7T_nmLAE_1g1ImAHbA8KcZTDj3FoOf9szPY"
https://www.linkedin.com/posts/audi-ag_new-audi-a6-e-hybrids-activity-7325776416648699904-48FS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-07 09:00:04,"Welcome to the family ++ Audi proudly presents the A6 Avant e-hybrid quattro and the A6 Sedan e-hybrid quattro. The first plug-in hybrids to join the A6 model series, these newcomers impress with their efficiency, sportiness, and comfort.   Swipe through the pictures and get to know the new Audi A6 e-hybrids in detail.  #Audi #VorsprungDurchTechnik #AudiA6 #hybrid   -------------------- Audi A6 Avant e-hybrid quattro 220 kW: Fuel consumption (weighted combined): 2.8–2.2 l/100 km; power consumption (weighted combined): 16.2–15.2 kWh/100 km; CO₂ emissions (weighted combined): 65–51 g/km; CO₂ class (weighted combined): B; fuel consumption with discharged battery (combined): 7.6–6.7 l/100 km; CO₂ class with discharged battery: F–E Audi A6 Avant e-hybrid quattro 270 kW: Fuel consumption (weighted combined): 2.9–2.4 l/100 km; power consumption (weighted combined): 16.2–15.4 kWh/100 km; CO₂ emissions (weighted combined): 65–54 g/km; CO₂ class (weighted combined): B; fuel consumption with discharged battery (combined): 7.7–6.9 l/100 km; CO₂ class with discharged battery: F Audi A6 Sedan e-hybrid quattro 220 kW: Fuel consumption (weighted combined): 2.8–2.1 l/100 km; power consumption (weighted combined): 16.0–15.0 kWh/100 km; CO₂ emissions (weighted combined): 63–48 g/km; CO₂ class (weighted combined): B; fuel consumption with discharged battery (combined): 7.5–6.5 l/100 km; CO₂ class with discharged battery: F–E Audi A6 Sedan e-hybrid quattro 270 kW: Fuel consumption (weighted combined): 2.8–2.2 l/100 km; power consumption (weighted combined): 16.0–15.2 kWh/100 km; CO₂ emissions (weighted combined): 63–51 g/km; CO₂ class (weighted combined): B; fuel consumption with discharged battery (combined): 7.5–6.7 l/100 km; CO₂ class with discharged battery: F–E",362,339,16,4,8,18,
https://www.linkedin.com/posts/audi-ag_audi-vorsprungdurchtechnik-audia6-activity-7325444271396773888-wNQK?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqekr8BZF_C04s7i0T4dmksfmtBXhWKam4,2025-05-06 11:00:14,"Sportiness meets efficiency ++ The Audi A6 Sedan e-hybrid quattro and the Audi A6 Avant e-hybrid quattro expand the A6 model series in style.   Let’s answer the burning question first: both Avant and Sedan have an all-electric range of 106 kilometers, regardless of the power level chosen. 220 and 270 kW are available.   Efficiency and performance are increased thanks to the smart recuperation strategy and intelligent hybrid management. All-wheel steering as standard provides an even more dynamic driving experience.   What’s your style – Avant or Sedan? Tell us in the comments!  #Audi #VorsprungDurchTechnik #AudiA6 #hybrid -------------------- Audi A6 Sedan e-hybrid quattro 220 kW: Fuel consumption (weighted combined): 2.8–2.1 l/100 km; power consumption (weighted combined): 16.0–15.0 kWh/100 km; CO₂ emissions (weighted combined): 63–48 g/km; CO₂ class (weighted combined): B; fuel consumption with discharged battery (combined): 7.5–6.5 l/100 km; CO₂ class with discharged battery: F–E Audi A6 Sedan e-hybrid quattro 270 kW: Fuel consumption (weighted combined): 2.8–2.2 l/100 km; power consumption (weighted combined): 16.0–15.2 kWh/100 km; CO₂ emissions (weighted combined): 63–51 g/km; CO₂ class (weighted combined): B; fuel consumption with discharged battery (combined): 7.5–6.7 l/100 km; CO₂ class with discharged battery: F–E",1504,1408,79,14,31,38,"https://media.licdn.com/dms/image/v2/D4E22AQEnxde2UeH-Kg/feedshare-shrink_2048_1536/B4EZak0umZHcAo-/0/1746522011205?e=1749686400&v=beta&t=MqgLsLzg2WQOVaciidZdqUy8TRhY5ZwzLympCWeZk6E, https://media.licdn.com/dms/image/v2/D4E22AQEg107B3hWb7w/feedshare-shrink_2048_1536/B4EZak0um0GQAo-/0/1746522012944?e=1749686400&v=beta&t=MqEJE3hwQbUIQPKN4DkRxZOLupfZyNM6oo6id0qMr8g, https://media.licdn.com/dms/image/v2/D4E22AQGxqshppmuvRg/feedshare-shrink_2048_1536/B4EZak0unWHIAo-/0/1746522012347?e=1749686400&v=beta&t=098CRxCAG4icE1twJrrkXdJL8z6p4tP00L5_bTPKK00, https://media.licdn.com/dms/image/v2/D4E22AQFHFkMs6rUYzw/feedshare-shrink_2048_1536/B4EZak0ummHoA0-/0/1746522011828?e=1749686400&v=beta&t=uFlPW7UWz2gK7PfmPb-lYF-XxF-lyh_EZOoTCjLCstY"
