post_url,post_date,text,total_reactions,likes,love,celebrate,comments,reposts,media_urls
https://www.linkedin.com/posts/ford-motor-company_weareford-nowhiring-bobpm-activity-7326591824079323137-s6hY?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-05-09 15:00:12,"You're invited to the first stop on the BlueOval Battery Park Michigan Recruiting Roadshow this summer!   Join us to explore the latest developments at one of the most exciting projects in the country. You'll have the opportunity to meet our team, gain insights into upcoming career opportunities, and see how we're building more than just a plant - we're building a community.  This is your chance to learn how to join us to create a better tomorrow. We look forward to meeting you!   Our first stop will be in: Battle Creek, Michigan on Wednesday, May 21 from 4 p.m. - 8 p.m.  Register now: http://spr.ly/6047NGveB   Can't make it? Check back for additional events throughout the summer.  #WeAreFord #NowHiring #BOBPM",104,95,6,2,11,6,https://media.licdn.com/dms/image/v2/D5610AQHJeWxtOyuTGA/image-shrink_1280/B56Za1IZttGgAM-/0/1746795601810?e=1747479600&v=beta&t=PziJHm8EcoPMmUy3Vtl0-vaVd3nm0tnUHW3Z3tbeskY
https://www.linkedin.com/posts/ford-motor-company_frankie-muniz-malcolm-in-the-middle-star-activity-7325898327122726914--wZM?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-05-07 17:04:29,From the screen to the track. Frankie Muniz sat down with Jim to talk about his new life as a professional racer on the latest episode of DRIVE.,83,81,1,1,3,2,
https://www.linkedin.com/posts/ford-motor-company_weareford-employeeexperience-activity-7325971246783811585-dv8B?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-05-07 21:54:15,"The chilly weather didn’t stop Ford employee Ronald Gosciniak and other Mustang owners from dropping the top for Cars and Coffee at Ford’s World Headquarters recently. Gosciniak, who works in prototype parts management, brought his heavily modified Chrome Yellow 1998 Mustang Cobra convertible for the crowd of over 1,500 employees and members of the public to admire.  Over 300 people brought vehicles for display with Mustangs being the predominant vehicles, though Broncos, Thunderbirds, and other Ford-built classics were part of the event. There was also a selection of vehicles from the recently announced Ford Heritage Fleet, a curated collection of nearly 500 vehicles globally showcasing the company’s legacy.  Gosciniak enjoyed seeing the Ford GTs that were part of the display – he worked on the HVAC vents for the prototype program. He said Ford can use learnings from vehicles in the fleet to help track customer trends.  “It’s super cool to see so many folks of all kinds of different ages coming out, showcasing our products, and it’s super cool to see new and old coming together,” said Jeff Waraniak, a strategic communications employee. “Ford does a great job of embracing the car community.”  Ford Heritage and Brand Manager Ted Ryan also saw the event as a way to get more employees and the public to engage with the Heritage Fleet.  “The thing I’ve loved is inside the garage where people are seeing the concepts,” he said. “Just everybody's stopping and taking pictures. That's why we do this – we’re car people.”  Do you believe cars can bring people together? Join us at http://spr.ly/6043NGSjb   #WeAreFord #EmployeeExperience",428,396,15,13,14,17,"https://media.licdn.com/dms/image/v2/D5610AQHSzoBucEgGFQ/image-shrink_1280/B56ZasUAdiHUAQ-/0/1746647648586?e=1747479600&v=beta&t=HF2A2SySgP8cNmKeEvM1gNSwsw5Nk1RGbNNFvxPvfBs, https://media.licdn.com/dms/image/v2/D5610AQFn47qPny99dg/image-shrink_1280/B56ZasUAk.H0AY-/0/1746647649292?e=1747479600&v=beta&t=WFmXZntKB-8w12hg5KRBAGovD4Qy6E_JipmtEP7Jm0s, https://media.licdn.com/dms/image/v2/D5610AQGPFKVfK-fbrg/image-shrink_1280/B56ZasUAugH0AU-/0/1746647650108?e=1747479600&v=beta&t=6GF8yfJEbWkXh861AJleMI6YIUbm8uqZKFasbO_m4D8, https://media.licdn.com/dms/image/v2/D5610AQGqxvEJi-iRdw/image-shrink_1280/B56ZasUA_FH0AQ-/0/1746647650921?e=1747479600&v=beta&t=1Sy0e-Whs_A1ql12Me5QG_26Vp4h4230q_bPTiFOhQU, https://media.licdn.com/dms/image/v2/D5610AQESg5-RBAyzsg/image-shrink_1280/B56ZasUBIQGsAU-/0/1746647651257?e=1747479600&v=beta&t=C1FEDWdALAiXbN9OhIGDEzhxETLPk30JAGeZS6FH71w, https://media.licdn.com/dms/image/v2/D5610AQEWGRMxnm9H4w/image-shrink_1280/B56ZasUBO7GsAQ-/0/1746647652017?e=1747479600&v=beta&t=IKIyMvCZrbY_CtgaD3pHfPV-JWO3QR55je4YINtlttw, https://media.licdn.com/dms/image/v2/D5610AQGvZMwzwKdFyg/image-shrink_1280/B56ZasUBZrGkAc-/0/1746647652269?e=1747479600&v=beta&t=VQWP0KqkUi2a99puLFaykOoUtJI38MRkPBcJcE5AxyU, https://media.licdn.com/dms/image/v2/D5610AQGvkYeaw7OJjw/image-shrink_1280/B56ZasUBfVGgAM-/0/1746647652900?e=1747479600&v=beta&t=iKT8nEleVcJvipNuCC5AbTtprXDa8UkEXa09GnX3MrQ, https://media.licdn.com/dms/image/v2/D5610AQGO--VXFKLs9Q/image-shrink_1280/B56ZasUBoRGsAM-/0/1746647653209?e=1747479600&v=beta&t=w3xJn9Jk0EJ_6_fAlbf-VfG8FaFb6_WRt7Be5PPYBx0"
https://www.linkedin.com/posts/ford-motor-company_weareford-newhirespotlight-activity-7325566016711725058-IriJ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-05-06 19:04:00,"It’s satisfying to see Ford vehicles on the road every day, but when you work for a heritage brand like Ford it’s also fun to see the blue oval displayed on people’s clothes, bags, cups, hats and more everywhere you go. Recent Global Brand Merchandising and Licensing hire Jacqueline F. is part of the team that makes it easy to find and purchase fresh new Ford merchandise online: http://spr.ly/6049N8OPl  The assistant e-commerce marketing specialist is excited to give customers the best experience possible when they browse for items designed for the Ford fandom. “I chose to join Ford because it has a wealth of opportunities for professional growth and development, and it’s a company that leads with innovation,” says Jacqueline. “For example, I had always wanted to learn how to code html and CSS and Ford has already given me access to classes to acquire that skill.”  If Jacqueline looks familiar to you, it may be because you’ve seen her before -- she acts and models in commercials in her spare time! As if that’s not enough, the recent MBA grad runs about 25 miles weekly and has completed 27 5K races. Her proudest running achievement so far is having her name engraved in a metro park walkway for a first-place win. She’s says she’s grateful that Ford’s commitment to work-life balance helps her pursue her interests outside of work.  Welcome, Jacqueline!  Would you like to work for a company that supports your growth both at work and beyond? Learn more about current opportunities at http://spr.ly/6040N8OPm.   #WeAreFord #NewHireSpotlight",1062,975,42,38,26,14,"https://media.licdn.com/dms/image/v2/D5610AQEOedW3DEjmUg/image-shrink_1280/B56ZamjbFXGkAM-/0/1746551027814?e=1747479600&v=beta&t=jb79oaSQouozycyn0iK0bvZnxKl6Q9lCrA7d935g7gs, https://media.licdn.com/dms/image/v2/D5610AQFreNPuKi06aA/image-shrink_1280/B56ZamjbTGGoAY-/0/1746551029917?e=1747479600&v=beta&t=Me3HHYA24YJwg-QwThhkkOeCvSSvtPB4pmrzP84lnpQ, https://media.licdn.com/dms/image/v2/D5610AQEO4VnRwsuLjQ/image-shrink_1280/B56Zamjb9AGUAM-/0/1746551031994?e=1747479600&v=beta&t=8TPhcIYrbxda9CZOSP4gSCqrW0PG_QVuUZ5gkcZbeT0, https://media.licdn.com/dms/image/v2/D5610AQGs65PtgMygFA/image-shrink_1280/B56ZamjceQHgAM-/0/1746551033688?e=1747479600&v=beta&t=8wbh0UgriqDZh5Wi8uWvXHj4CCGrUua-U25zrFXEEpw, https://media.licdn.com/dms/image/v2/D5610AQEqqhe1-DqiSA/image-shrink_1280/B56Zamjc0pHUAM-/0/1746551036356?e=1747479600&v=beta&t=Nvuj7kY3DW4b5NAdbQ8OuiG4xyZ-gy2GE_WLj5_EIt4, https://media.licdn.com/dms/image/v2/D5610AQGD8iNRL5Hf-A/image-shrink_1280/B56ZamjdPTHAAU-/0/1746551038713?e=1747479600&v=beta&t=bCKsqAYTvgWgU8HzpT333HE6YlZIg66ODLyAowd_rcc, https://media.licdn.com/dms/image/v2/D5610AQHndvoQczSBMg/image-shrink_1280/B56ZamjeB7GkAU-/0/1746551039020?e=1747479600&v=beta&t=ueNVOf0yBvHqfCl_aTBSjmRUYjYnZa9h8ydIq-0U5EE"
https://www.linkedin.com/posts/ford-motor-company_its-summer-intern-season-our-first-group-activity-7325191396208824320-NpB2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-05-05 18:15:24,"It’s summer intern season! Our first group of 2025 interns arrived today, ready to tackle their projects, network, and have fun.    “I’m so excited to be here at Ford this summer!  I can’t wait to apply the skills and knowledge I learned in school to real-world situations,” says Mariam Elahdan, who is interning with the EV Strategy Vehicle Planning team.  Follow our FordCareers social channels to keep up with intern activities all summer.",1000,897,41,53,27,25,"https://media.licdn.com/dms/image/v2/D5610AQHJsSzNfG-LDw/image-shrink_1280/B56ZahOuDCHUAU-/0/1746461713372?e=1747479600&v=beta&t=G_xkOQKthLsdcQ0wJihirxtBvP3IblBZNEVDwtpaMww, https://media.licdn.com/dms/image/v2/D5610AQEEQJiRpDT0uA/image-shrink_1280/B56ZahOuNBGkAQ-/0/1746461714008?e=1747479600&v=beta&t=Bkytpwsct5Vq0e2eoZCiFstr5fOZrpXdt1o9LbGXXDc, https://media.licdn.com/dms/image/v2/D5610AQFd2mlZcK1rGQ/image-shrink_1280/B56ZahOuaUGkAM-/0/1746461714729?e=1747479600&v=beta&t=GoqJlyP528kFDd2qNS7lUbFCwqzI2du7McjpmLKIIcQ, https://media.licdn.com/dms/image/v2/D5610AQEcMbwIsGJoKw/image-shrink_1280/B56ZahOuj.HsAM-/0/1746461715538?e=1747479600&v=beta&t=FWJx9xR0kF6suXAk2yX5Aw9FsujfX4zdrCnvmnfgUiM, https://media.licdn.com/dms/image/v2/D5610AQEUj11u65SLvw/image-shrink_1280/B56ZahOuukGUAM-/0/1746461716161?e=1747479600&v=beta&t=iMdo-9NTnzr6fteuGmqo8rF5HpVUdJnKhSXP6mstfcM, https://media.licdn.com/dms/image/v2/D5610AQEEWvs7WgpcYw/image-shrink_1280/B56ZahOu8IHUAQ-/0/1746461718312?e=1747479600&v=beta&t=mZKF-UcmMFW2yJKQ3NDmscvqS0iAHPLJLFP3OsT3-B0, https://media.licdn.com/dms/image/v2/D5610AQFHVi02FNhVpA/image-shrink_1280/B56ZahOvaRGUAY-/0/1746461719383?e=1747479600&v=beta&t=OY9Y_RYeMoTisv0LZG9Lm3eI8IDMgpL_BYuEU_f8gxk, https://media.licdn.com/dms/image/v2/D5610AQGqZfNK9by1ag/image-shrink_1280/B56ZahOvqDGoAQ-/0/1746461720778?e=1747479600&v=beta&t=rLvwJXIacm7IqFgok8JFx8bpRCZFqdI5e2Ssq2wq20U, https://media.licdn.com/dms/image/v2/D5610AQGwQZXlf6FRaQ/image-shrink_1280/B56ZahOv.5HAAM-/0/1746461721181?e=1747479600&v=beta&t=6r2sO0rKWr1wLk2iAgABGv02MY8b8nxIAB7knGD-U3c, https://media.licdn.com/dms/image/v2/D5610AQH4Bie_lGdbxA/image-shrink_1280/B56ZahOwIYHsAQ-/0/1746461722232?e=1747479600&v=beta&t=oaXP1OlYP43ZNtKs9R9F7zGgp42gqMb8rpSVLC-S5zk"
https://www.linkedin.com/posts/ford-motor-company_meet-jay-j-ford-credit-regional-manager-activity-7323427895849168896-1a2t?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-04-30 21:27:53,"A dream job gives you the time to pursue all your hobbies and travel  April is National Poetry Month in the U.S. so we’re spotlighting Jay J., poet, spoken word artist and Ford Credit regional manager. Read on for more fun facts about this world traveler and longtime Ford fan, and learn more about how you can bring your talents to Ford at careers.ford.com    #WeAreFord #FordCredit #NaPoMo #haiku",62,49,2,8,9,4,
https://www.linkedin.com/posts/ford-motor-company_tim-peake-retired-astronaut-talks-spacewalks-activity-7323342141189935105-rTS3?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-04-30 15:47:07,"From being the first British astronaut to visit the International Space Station, to running the London marathon from space, Tim Peake knows a thing or two about speed. Listen to his chat with Jim on the latest episode of DRIVE.   #WeAreFord",92,88,3,1,0,6,
https://www.linkedin.com/posts/ford-motor-company_dont-forget-to-stop-by-our-kansas-city-assembly-activity-7323789705047609351-RVc_?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-05-01 21:25:35,"Don’t forget to stop by our Kansas City Assembly Plant Career Fair this Saturday, May 3rd. The hiring team will be there from 9-12 CT and would love to talk to you about careers at Ford!  Pre-register for the event here: http://spr.ly/60402xbAp",147,137,7,2,9,20,https://media.licdn.com/dms/image/v2/D5610AQGzNyw6XDmJuw/image-shrink_1280/B56ZaNT4.8GUAM-/0/1746127524879?e=1747479600&v=beta&t=CqdEFk9n9keNhNqOj_mVBxaCkEBfM-XBEDBdxe6kZ3M
https://www.linkedin.com/posts/ford-motor-company_weareford-activity-7326307971200626688-QOd7?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-05-08 20:12:16,"Making home charging easy and accessible - by offering customers a complimentary charger and standard installation when they purchase a Ford electric vehicle - is what the Ford Power Promise is all about. Developing this revolutionary program in just three months took over 200 dedicated employees across numerous teams through excellence, focus, and collaboration.   Hear from some of the team that brought the Ford Power Promise to life. #WeAreFord",244,221,12,9,9,13,https://dms.licdn.com/playlist/vid/v2/D5605AQG2AsnAopqrvQ/mp4-720p-30fp-crf28/B56ZawyIC5GkBU-/0/1746727926935?e=1747479600&v=beta&t=wE0NfVfQOkDIieln_cSUSXMD9FOwZ_s_5yv0PqlDd_Y
https://www.linkedin.com/posts/ford-motor-company_mitch-albom-best-selling-author-talks-life-activity-7321191072804577280-UMSJ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVoVQBwS5V984XVmuyo77EUIIce7rnpa0,2025-04-24 17:19:32,"Another can’t-miss conversation on Season 3 of DRIVE. This week, Jim speaks with best-selling author, Mitch Albom, about the importance of cherishing everyday moments, his charitable efforts in Detroit and Haiti and more.",78,75,3,0,6,5,
