post_url,post_date,text,total_reactions,likes,love,celebrate,comments,reposts,media_urls
https://www.linkedin.com/posts/maruti-udyog-limited_presidentofindia-pmoindia-padmaawards-activity-7322934433961885698-Szju?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2025-04-29 12:47:02,"Mr. Osamu Suzuki was conferred the Padma Vibhushan (posthumously) for his remarkable contribution to the field of Trade & Industry. A visionary leader, he played a crucial role in making car ownership accessible to the Indian middle class and the emergence of India as a major car producing nation in the world. Mr. Toshihiro Suzuki, Representative Director and President, Suzuki Motor Corporation, received the Padma Vibhushan on behalf of his father, Mr. Osamu Suzuki from Hon’ble President of India Smt. Droupadi Murmu at Rashtrapati Bhavan. Through a heartfelt message, he expresses his deepest gratitude to the Government of India and the people of India for bestowing this great honour on Mr. Osamu Suzuki.  #PresidentofIndia #PMOIndia #PadmaAwards #MinistryofHomeAffairs #GovernmentofIndia #MyGovIndia #MarutiSuzuki #PadmaVibhushan #PadmaAwards #OsamuSuzuki #IndiaJapan #MakeinIndia #IndiaOnWheels #MobilityForAll",1525,1435,34,49,62,101,https://dms.licdn.com/playlist/vid/v2/D5605AQFCpK6ddeG9lA/mp4-720p-30fp-crf28/B56ZaBJ3CMGkBQ-/0/1745923605774?e=1747483200&v=beta&t=HxbihQPhrabOHclsTymtQGlLh7mT265gT34-7unzTY8
https://www.linkedin.com/posts/maruti-udyog-limited_madeinindia-marutisuzuki-activity-7290701046241280000-Ccd0?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2025-01-30 13:03:04,Proud moment! #MadeInIndia 5-Door Jimny debuts in Japan. Exclusively made at Gurugram plant & exported to ~100 countries Jimny is #MarutiSuzuki's 2nd most exported model in FY24-25. Reaffirms MSIL's commitment to 'Make-in-India for the world'.,885,846,10,23,93,29,"https://media.licdn.com/dms/image/v2/D5610AQHVvgZIHWt50A/image-shrink_1280/B56ZS3F7UtGQAM-/0/1738238572387?e=1747483200&v=beta&t=vPmuG5QOgU-tD682vvKYezqbk27QHoOKMYRklsttigk, https://media.licdn.com/dms/image/v2/D5610AQE-fVsyOaDshg/image-shrink_1280/B56ZS3F7d4GQAM-/0/1738238573485?e=1747483200&v=beta&t=3ybUuN8hQ_trPtZRpdR4sXLc7KySLYOqQaN7xRlLck4"
https://www.linkedin.com/posts/maruti-udyog-limited_evitara-bharatmobility-bharatmobilityglobalexpo2025-activity-7287086516101697538-1xBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2025-01-20 13:40:12,"We thank the Hon’ble Prime Minister Shri Narendra Modi for gracing the Maruti Suzuki Pavillion at the Bharat Mobility Global Expo 2025 to witness the first Global EV model from Suzuki Motor Corporation, the e VITARA. An iconic moment for all of us at Maruti Suzuki!  The e VITARA is a perfect tribute to Prime Minister’s vision of ‘Make in India. Make for the World’. The e VITARA will be manufactured exclusively in India for Indian customers and will be exported to 100 countries of the world. A true symbol of India’s manufacturing prowess, the e VITARA realizes Hon’ble PM’s vision for the Indian automotive industry to be ‘fantastic’ and ‘future ready’. The e VITARA is powered with our vision of ‘e for me’, where we are committed to providing Electric Eco-solutions for every customer. Together, we aim to pave the way for a greener, more sustainable future and showcase India’s manufacturing excellence on the global stage.   #eVITARA #BharatMobility #BharatMobilityGlobalExpo2025 #BharatEMobility #MobilityReimagined #AatmanirbharBharat #MakeinIndia #ViksitBharat Narendra Modi",5797,5703,32,52,112,88,"https://media.licdn.com/dms/image/v2/D5610AQHWXBdfvaE8yA/image-shrink_1280/B56ZSDugiYGQAM-/0/1737376799537?e=1747483200&v=beta&t=xOd3qghWPT8ArX0vQmurqaAQhqJC9opxTx6CL3VXL_w, https://media.licdn.com/dms/image/v2/D5610AQE-580_WsWiDA/image-shrink_1280/B56ZSDuhkqHQAM-/0/1737376799573?e=1747483200&v=beta&t=49VKKoe3gl_SqX_86ooOO-C8Cl_6VQ-UUretcGgRpC0, https://media.licdn.com/dms/image/v2/D5610AQF59UCqANRIkw/image-shrink_800/B56ZSDuhtOH0AQ-/0/1737376800191?e=1747483200&v=beta&t=3C6KRmsp7Ki_1mZKiLcO7XQ4rSBtccp5Xms0Ise3C44, https://media.licdn.com/dms/image/v2/D5610AQFaSXzit2Xo0w/image-shrink_1280/B56ZSDuh6zGsAM-/0/1737376802360?e=1747483200&v=beta&t=a1M8lkvPWm19BkiuKTaeP6JQ9Vlj5M-J1LBVvRJi9nw"
https://www.linkedin.com/posts/maruti-udyog-limited_marutisuzuki-xplore2-lifeatmaruti-activity-7315713183267057664-DtMa?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2025-04-09 14:32:22,"An insightful session of the second season of XPLORE Life @ Maruti Suzuki was conducted today with our incoming batch of Management Trainees 2025    The future Maruti-ians were enthused with excitement as they ventured into the vast world of Maruti Suzuki. Cheers to all the young leaders for making this session vibrant and interactive!  A huge vote of thanks to Mr. Aditya Aggarwal for inspiring the bright minds! Insights and experiences shared by Ms. Pooja Arora, Ms. Bharti Bhardwaj, Ms. Deepti Arya, Mr. Gaurav Sharma, Ms. Neha Bhargava, Ms. Shruti Saraf gave a glimpse into Life @ Maruti Suzuki India Limited  #MarutiSuzuki #Xplore2 #LifeatMaruti #Revvup2future #MBA #Engineering #Campusplacements #Placements #Campus",912,889,9,10,71,7,https://media.licdn.com/dms/image/v2/D5622AQGJ5PV4xfiLvQ/feedshare-shrink_2048_1536/B56ZYaiXppHQAs-/0/1744201940589?e=1749686400&v=beta&t=JgIMWPOfK-WsN6t1Mf7T_T6wEkAqGUZcALuhlBcMlFw
https://www.linkedin.com/posts/maruti-udyog-limited_marutisuzuki-revvup2future-summerinternship-activity-7314991539628228609-XFYu?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2025-04-07 14:44:49,"We are pleased to welcome the batch of MBA summer interns 2025 who are joining us from leading B-schools of India. These bright young minds will be engaged in real-time projects across various business functions during their tenure at Maruti Suzuki India Limited.  Wishing them a memorable, exciting and enriching journey. All the best!  Priyanka Srivastava Amar Singal Arpita Pati Shashank Kumar Ayush Dev Vishnu Sridhara Saurav Tiwari   #MarutiSuzuki #Revvup2future #SummerInternship #youngtalent #MBA #Campusplacements #Placements #Campus",1259,1234,9,10,44,10,https://media.licdn.com/dms/image/v2/D5622AQHn_eCSYbQR5A/feedshare-shrink_2048_1536/B56ZYQSCRTHoAs-/0/1744029887916?e=1749686400&v=beta&t=TMHbeXf4q3e0-uOw2K7lVMlbj1S-8ylkf_mnozKRgKY
https://www.linkedin.com/posts/make-in-india_makeinindia-investinindia-investindia-activity-7283020383908241409-WCVu?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2025-01-09 11:46:55,"Maruti Suzuki India Limited is driving economic growth, supporting nation-building and making India’s automobile industry self-reliant and globally competitive. It proudly champions the #MakeInIndia initiative.  #InvestInIndia #InvestIndia #Innovation #Manufacturing #IndiaRising #MakeInIndiaForTheWorld #VocalForLocal #Glocal #BuildInIndia #Automobiles   Department for Promotion of Industry and Internal Trade Ministry of Commerce and Industry, Government of India Department of Commerce Ministry Of Heavy Industries Ministry of Road Transport & Highways - India Society of Indian Automobile Manufacturers (SIAM) Piyush Goyal",751,723,11,16,48,22,https://media.licdn.com/dms/image/v2/D5622AQErtceLHquZjA/feedshare-shrink_2048_1536/B56ZRJ8b41GQAo-/0/1736407369956?e=1749686400&v=beta&t=V9deQQY9bs6aOjIDGZO7oVj_96q3Nl6z1D3k-eKRPos
https://www.linkedin.com/posts/maruti-udyog-limited_marutisuzuki-xplore2-lifeatmaruti-activity-7313149641561100288-HIWo?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2025-04-02 12:45:46,"We are thrilled to be back with another exciting season of 'Xplore Life @ Maruti Suzuki' for our incoming Management Trainees of 2025. The stage is set, and our team is ready to usher in a new generation of talent into the dynamic and innovative sphere of Maruti Suzuki India Limited.  The journey begins here..  #MarutiSuzuki #Xplore2 #LifeatMaruti #Revvup2future #MBA #Campusplacement #Placements #Campus",301,284,4,10,30,4,https://media.licdn.com/dms/image/v2/D5622AQELxowwpm3rxA/feedshare-shrink_2048_1536/B56ZX2G1M4HoAo-/0/1743590745044?e=1749686400&v=beta&t=UeyfK3I9uPEkpPo6d9eDcyVadvdUnrEgAbXklrluEn0
https://www.linkedin.com/posts/maruti-udyog-limited_marutisuzuki-bharatmobility-bharatmobilityglobalexpo-activity-7287490164048699393-99Om?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2025-01-21 16:24:10,"The Maruti Suzuki pavilion this year marks a phenomenal line-up for all car enthusiasts. Experience #MarutiSuzuki's Global EV the e VITARA built on the technology platform 'e for me'.   Don't miss the 7 iconic concept cars displayed for the very first time, the state-of-the-art cut-sections of the e VITARA and the Strong Hybrid Grand Vitara, Sky Drive and a scale model of CBG at the sustainability zone at the pavilion.  View this and more only at Hall 5 at #BharatMobility Global Expo 2025   #BharatMobilityGlobalExpo #BharatEMobility #MobilityReimagined",626,597,17,8,48,28,https://dms.licdn.com/playlist/vid/v2/D5610AQF5mg2SjYVPmA/mp4-720p-30fp-crf28/B56ZSJdoWbHQBs-/0/1737473048063?e=1747483200&v=beta&t=UK4FoIRzkvYinwtwKZVbnZsk5nvl3nzyjfxCvoQvIJ4
https://www.linkedin.com/posts/maruti-udyog-limited_mahatmaaward2024-marutisuzuki-activity-7247585786118692865-XcGp?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2024-10-03 14:38:25,"Honoured to receive #MahatmaAward2024 for CSR Excellence from Dr. Kiran Bedi. #MarutiSuzuki CSR initiatives are focused on road safety, skill development & community development. These initiatives are designed to create a positive & meaningful impact on society.   @Dr. Kiran Bedi Mahatma Award  Amit Sachdeva  MUGDHA ARORA",184,178,1,4,17,3,"https://media.licdn.com/dms/image/v2/D5622AQE4a6cs1o-A7w/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1727959092193?e=1749686400&v=beta&t=-0yao1KUTIU-OHvHQHwWwFN3RvlxnSPtI9iGW2ode3g, https://media.licdn.com/dms/image/v2/D5622AQG61wDYlQhscg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1727959101487?e=1749686400&v=beta&t=9MPne9wCBiW2iGW5HzgZWbxYeymjle-z0TjVbid7VK4"
https://www.linkedin.com/posts/maruti-udyog-limited_exportmilestone-viksitbharat-makeinindia-activity-7267522829099655168-7xx2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqVlKgBLydr0wjoTL7fFQe-iuwzcDXwfXI,2024-11-27 14:01:06,"#ExportMilestone: 3 million cumulative exports and growing. We achieved our 1st million in 24yrs 8months, our next million in 8yr 10months & now the 3 Million mark in just 3yr 9months, making it our fastest million in exports. Maruti Suzuki’s success in international markets is due to high acceptance of MSIL's global standard for quality, safety, design & tech.   The achievement represents India’s automobile manufacturing excellence on global stage. We thank the progressive policies of the Government of India for fueling this growth.  #ViksitBharat #MakeInIndia",751,716,7,25,36,60,https://dms.licdn.com/playlist/vid/v2/D5610AQHPxBTOug7O5Q/mp4-720p-30fp-crf28/mp4-720p-30fp-crf28/0/1732712460903?e=1747483200&v=beta&t=-ogsiojyj_ttluDpoHT35HQ8Q2NmggIIgdUdJi8XDPY
