post_url,post_date,text,total_reactions,likes,love,celebrate,comments,reposts,media_urls
https://www.linkedin.com/posts/volkswagen_volkswagen-vw-idevery1-activity-7326878687134461952-az11?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-05-10 10:00:05,"The ID. EVERY1. A true reflection of our vision for smart, approachable mobility. And it’s more than just a vehicle. It’s a creative statement made for everyone! 🧡🌉   The production version is coming in 2027! 😊 ​ #Volkswagen #VW #IDEVERY1​ ​ —-​ * Concept car.",48,47,0,1,0,2,https://dms.licdn.com/playlist/vid/v2/D4D05AQFAEKpuOMjl1g/mp4-720p-30fp-crf28/B4DZa0AOyyGYBU-/0/1746776691483?e=1747476000&v=beta&t=wUH9aEW2p8gfHMu8XYzhNMJ88lG8a9VPWyq7vE3imLw
https://www.linkedin.com/posts/volkswagen_volkswagen-polo-polo50-activity-7326516974480408576--tJa?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-05-09 10:02:46,"“So big and yet so small”: That was the advertising slogan for the third generation Polo (1994-2001), reflecting the fact that the car’s exterior dimensions had increased, providing even more space.   🚗 At 3,715 millimetres in length, the Polo III now had similar dimensions to the Golf I. More materials were being used in the safety structure, and there was more equipment, increasing the kerb weight to 915 kilogrammes. In terms of design, the car had taken a quantum leap forward. What was particularly striking on the new model was its rounder look, as well as the pronounced C-pillar and the raised rear end.  ℹ️ In addition, modern safety systems such as driver and front passenger airbags, seat belt tensioners, and the anti-lock brake system had now appeared on the scene. For the first time in its model history, the Polo was also available as a five-door model, and as an estate from July 1997.   🏎️ In 1998 the Polo sported the three iconic letters more commonly associated with its “big brother”, the Golf, for the first time: the limited-edition Polo III GTI sold out quickly.  🚘 In September 1999, the Polo was given another makeover: the new model had a redesigned front end, clear glass headlights, modified bumpers, redesigned tail light clusters, and a high-quality interior with blue backlit instruments. Two airbags and the anti-lock brake system were now fitted as standard, while ESC (Electronic Stability Control) was available as an optional feature.  #Volkswagen #Polo #Polo50",457,429,25,3,12,11,"https://media.licdn.com/dms/image/v2/D4E22AQHjL_PLceXXDA/feedshare-shrink_2048_1536/B4EZa0EW72HcAo-/0/1746777765050?e=1749686400&v=beta&t=cRyHKHvz9OLwalKu2eRnbLzDTpLE_es1WlM0D62vuJk, https://media.licdn.com/dms/image/v2/D4E22AQFoOZL2hUFZzg/feedshare-shrink_1280/B4EZa0EW8DGQAk-/0/1746777764664?e=1749686400&v=beta&t=fMvSdc41r5-GSGXq71O8GSeeWJ0WE4QV0tWphX1aLYs, https://media.licdn.com/dms/image/v2/D4E22AQFr8ky6PBpEOw/feedshare-shrink_2048_1536/B4EZa0EW8DHcAo-/0/1746777764738?e=1749686400&v=beta&t=6oO214BPGBf20NrmWSktq9CihYHcwN9wDNXO8tBtE3w, https://media.licdn.com/dms/image/v2/D4E22AQHDh2392_V3SA/feedshare-shrink_2048_1536/B4EZa0EW8IHYAo-/0/1746777765169?e=1749686400&v=beta&t=4jF5Q0MT1uoyphnt4Bt-txDTFrTnR2Ad0mMEF6usojs"
https://www.linkedin.com/posts/volkswagen_volkswagen-taigo-activity-7326169239508144129-l_vK?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-05-08 11:01:00,"A great road trip needs more than just a destination - it needs the right car. Our Taigo is designed to turn your journey into an experience.   ✅ Comfort & Space – A high driving position, ergonomic seats, and up to 440 liters of luggage space mean you can pack more and stress less.  ⛽ Efficiency & Performance – The Taigo’s TSI engines deliver a balance of power and fuel efficiency.  🛡️ Smart & Smooth – Features like Travel Assist*, Lane Assist* and Front Assist* can make long drives more relaxed and safe.  🔥 Designed to stand out – With its SUV-coupé design, the Taigo doesn’t just drive well - it looks the part, too.  Road trips are all about freedom, adventure, and great memories. The Taigo is ready to take you there. ✨  Where’s your next trip? 🌍  #Volkswagen #Taigo  *Optional equipment",324,312,8,3,8,7,"https://media.licdn.com/dms/image/v2/D4D22AQHMkr3ZehR62w/feedshare-shrink_1280/B4DZavIGJnG0Ak-/0/1746694858323?e=1749686400&v=beta&t=UGVaSZykY3Xc4lIag2XWg2Uh1EO27qokYcJ5RnGTpxw, https://media.licdn.com/dms/image/v2/D4D22AQEVWXE5c_svrA/feedshare-shrink_2048_1536/B4DZavIGJkHEAo-/0/1746694858258?e=1749686400&v=beta&t=85T5d_dj_yvaN5XDR260nXHJr6RgQf5rn5n8n_b-swg, https://media.licdn.com/dms/image/v2/D4D22AQEgthjy7f2aEg/feedshare-shrink_2048_1536/B4DZavIGJgHAAo-/0/1746694858039?e=1749686400&v=beta&t=TyPpNI4YjLOpOSzVznNOWixMfCnH06qcs0a8Kby5WIs, https://media.licdn.com/dms/image/v2/D4D22AQFF1u-EI5vKKQ/feedshare-shrink_2048_1536/B4DZavIGJ0HsAw-/0/1746694858285?e=1749686400&v=beta&t=h17024z-8MXN5PEPBk1lo1MuxPQPx-6QyyFD2_DdtDk, https://media.licdn.com/dms/image/v2/D4D22AQFHmrJ9QsNHQQ/feedshare-shrink_2048_1536/B4DZavIGJqGwAo-/0/1746694858348?e=1749686400&v=beta&t=9N85EOads1BzXambkhJ36mX3JjAHtSCIxlmzklAYlxA"
https://www.linkedin.com/posts/volkswagen_people-behind-volkswagen-franziska-schuwald-activity-7325863238439477248-SK39?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-05-07 14:45:04,"We’re introducing Franziska Schuwald. She works as a shift coordinator in toolmaking at Volkswagen.  Franziska has been with Volkswagen since 2010. She started her career at 23 as a tool mechanic, and today she coordinates entire shifts in the toolmaking division. Whether it’s late or night shift – Franziska is the go-to person, making sure everything runs smoothly and that decisions are made together with the team. 🤝   She’s currently preparing for the final stage of her master craftsman certification – but she’s already filling the role. Leadership, for her, is a work in progress. ⚙️   🗨️ ""Communication is what excites me most – whether it’s a positive conversation or a tough one. Because without real dialogue, teamwork doesn’t work.""  Most of her work happens out on the shop floor, where large tooling systems are built – for example, for door panels, tailgates, or the roof of the ID. Buzz. These tools are then shipped globally to our factories, and Franziska often travels with them to ensure everything works smoothly in production abroad – adjusting for conditions like heat or local processes. 🌍   In a male-dominated field, Franziska leads with a clear vision: ""Everyone brings their own strengths – and that’s what should define your role.""  ❓ Which areas of Volkswagen would you like to learn more about in our new series?    Leave a comment! ⬇️   #Volkswagen #PeopleBehindVolkswagen",172,164,4,4,13,4,
https://www.linkedin.com/posts/volkswagen_volkswagen-polo-polo50-activity-7325429212826218500-5ryE?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-05-06 10:00:24,"In celebration of 50 years of Polo, we embarked on an unique journey through South Africa - the home of our currently smallest Volkswagen. Since 1996, the Kariega plant in the Eastern Cape has been the beating heart of Polo production. Over 1.9 million Polos and 440,000 Polo Vivos have rolled off its lines – including every single Polo GTI in the world. Together with media guests and content creators, we explored the Kariega plant, convinced ourselves of the Polo‘s racing qualities at Simola Hillclimb and experienced the comfort of our Polo on the long ride from Knysna to Cape Town.  🗺️ The Polo has long been an international success story. Series production of the Polo I began in March 1975 at our headquarters in Wolfsburg. But as the model increased in importance, production was spread to other locations around the world, including Spain, Argentina, South Africa, Slovenia, China, Brazil and India. With more than 20 million units built, the Polo is one of the world’s most successful small compact vehicles.  ⚙️ The Kariega plant, around 1,000 km south of Johannesburg, covers an area of 518,378 m2 (= 70 football pitches). In addition to the Polo and Polo Vivo, engines for the Polo Vivo are also produced there. With almost 4,000 employees, @VWGA is the largest private employer in the Nelson Mandela Bay metropolitan region, which includes Kariega.  #Volkswagen #Polo #Polo50",416,387,21,5,16,13,"https://media.licdn.com/dms/image/v2/D4D22AQFMu6rWPZBs6Q/feedshare-shrink_2048_1536/B4DZakeprcG4As-/0/1746516223084?e=1749686400&v=beta&t=8hyC22B2bxuLoQtySaNilWT_Y2FS9KU3h_ooBrubv9k, https://media.licdn.com/dms/image/v2/D4D22AQENt0uomPENUw/feedshare-shrink_2048_1536/B4DZakeprZHwA8-/0/1746516222367?e=1749686400&v=beta&t=mn8WIO76Lqnn1txOekTXSLLLnZfraNxNgf3UET7-rgw, https://media.licdn.com/dms/image/v2/D4D22AQHraSpAWn_uIg/feedshare-shrink_2048_1536/B4DZakeprkGcAo-/0/1746516222988?e=1749686400&v=beta&t=3t3wXnCc5F2F3RM6HeOuz63IwIJH671dZ_Nf0QIby30, https://media.licdn.com/dms/image/v2/D4D22AQF1GF9s80AsAg/feedshare-shrink_2048_1536/B4DZakeprmG4As-/0/1746516222991?e=1749686400&v=beta&t=1e63bl62hj02CZt6LOJCc-GzVNRYrL9hbRa5ctUNRSg"
https://www.linkedin.com/posts/volkswagen_volkswagen-polo50-vwlovestories-activity-7325078085182078976-uToM?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-05-05 10:45:08,"👨‍👩‍👧‍👦 Parents, aunts and uncles were all Polo drivers. ‘A long-standing family tradition. I grew up with the VW Polo,’ explains Geoffroy Thirion with a smile.  🏆 The Belgian was ""infected"" as a teenager: his uncle competed in hill climbs and was crowned Belgian champion multiple times. Geoffroy was always part of the action and was allowed to work on the hill climb Polo. ‘That's when I developed my passion for the VW Polo, mechanics and racing.’ These days Geoffroy also competes in hill climbs and is currently building a Polo 16V ‘Hill Climb Cup’ version.  🚘 But he also has a soft spot for rare first-generation Polo; he owns a Polo I RX from 1978, the last of a Belgian limited edition of just 1,000 units. It is his Mars Red dream car – he dreamed of this RX version even as a child because it was like a ‘Mini Golf GTI’.  🌍 His Polo I GLS in Diamond Silver is a UK import – and the only one in Belgium. Geoffroy and the right-hand drive car are of the same vintage – 1979. For trips, fan meetings and exhibitions, he is also using his Senegal Red Polo I L from Sweden: Only 24,000 kilometres on the clock and built in Wolfsburg in December 1975, it is the oldest car in his collection.  ⛰️ Finally, there is the Belgian 1977 Polo L ‘Corgi’ in Bronze Metallic. Much revised since 2000, including a 1.3-litre engine from a Polo II GT under the bonnet, it is equipped for historic Belgian hill climbs.  ☀️ And true Polo enthusiasts love spending time with like-minded people. Which is why Geoffroy founded the fan club ‘Typ86.be’ in 2015. The fans from Belgium, France and Switzerland spend almost every weekend in summer together – a real Polo family. 🫶🏼  #Volkswagen #Polo50 #VWLovestories",448,412,29,6,9,14,"https://media.licdn.com/dms/image/v2/D4D22AQHAybKl2Asy8Q/feedshare-shrink_2048_1536/B4DZafnsNtG8Ao-/0/1746434706070?e=1749686400&v=beta&t=KNKq8L4W2N2ssJMm-_UYtpB3FxHzOT--qSWSXo1CRlU, https://media.licdn.com/dms/image/v2/D4D22AQGxImemkDHOtg/feedshare-shrink_2048_1536/B4DZafnsNrGgAo-/0/1746434706081?e=1749686400&v=beta&t=gGzKhBZrvBDJmwu1TIvU4k0XY7YVVs8QU9E9O9KekBE, https://media.licdn.com/dms/image/v2/D4D22AQH7kJkyOr9-3A/feedshare-shrink_2048_1536/B4DZafnsM7GsAs-/0/1746434707084?e=1749686400&v=beta&t=KPeV3pFNLcxrdHDNe4nq8-EXnfyqZKY7NkWmMovgEPs, https://media.licdn.com/dms/image/v2/D4D22AQFhPPqYvViToQ/feedshare-shrink_2048_1536/B4DZafnsObHEAs-/0/1746434705592?e=1749686400&v=beta&t=08wk2yHiEYKvq7dzL3Koq_m42b1Wq5hqtSaQPweSb2Q, https://media.licdn.com/dms/image/v2/D4D22AQH-pVlmgU_bNw/feedshare-shrink_2048_1536/B4DZafnsNrGwAo-/0/1746434707429?e=1749686400&v=beta&t=at8fbxltePYOyiHLHiQ-fo0bRprCn69kNxzdeP2tUY0, https://media.licdn.com/dms/image/v2/D4D22AQEN5cpQ1r1s1A/feedshare-shrink_2048_1536/B4DZafnsNpH0Ao-/0/1746434707520?e=1749686400&v=beta&t=4YyEIti3XX0UkIWcbwVZ7KzJlyYYZqGT-sq33USnKKg"
https://www.linkedin.com/posts/volkswagen_volkswagen-id4-activity-7323264099042099200-ZjAn?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-04-30 10:37:00,"The ID.4 has lots of space, perfect for planning your summer trips. 😍  Here are three key facts about the storage capacity of the Volkswagen ID.4:  1. Spacious Cargo Area – The ID.4 offers 543 liters of trunk space with the rear seats up, providing plenty of room for daily errands, luggage, or gear.  2. Expandable Storage – Folding down the 60/40 split rear seats increases cargo capacity to 1,575 liters, making it versatile for larger items. The ID.4 supports up to 75 kg (165 lbs) of roof load, making it ideal for carrying extra gear like bikes, skis, or cargo boxes.🚗  3. Smart Storage Solutions – The ID.4 features multiple clever storage compartments, including a large center console, underfloor cargo space, and door pockets designed for practicality.  #Volkswagen #ID4",187,176,8,3,5,7,https://media.licdn.com/dms/image/v2/D4D22AQFW22dnu2HHcg/feedshare-shrink_2048_1536/B4DZaF15AgHQAs-/0/1746002220073?e=1749686400&v=beta&t=izHFM0Qq0XX8eDARJflsxsUlfeMIXaL8dHJJe5rP_Ns
https://www.linkedin.com/posts/martin-sander-cyyz_electric-european-roadtrip-ugcPost-7325473517032935445-96fo?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-05-06 13:58:33,"500 kilometres, four visits and meetings and plenty of constructive, engaging and honest conversations about e-mobility: my #electric #European #roadtrip is off to an encouraging start! 🔌⚡🚗    I spent yesterday driving across #Austria – through some challenging weather – visiting #dealers and talking to #customers about the transformation to electric. Not all of the feedback from the people I spoke to was positive. But learning what members of the public think about where politics and industry has gone wrong, and ways that we, as Volkswagen, can improve is what I’m here to do.    ➡️ The key takeaway from the teams I spoke to was that they remain convinced that e-mobility is the future – and with our ID. Models we are set up correctly for this. And the latest sales figures back this up: so far this year #Volkswagen has increased the number of cars sold in Austria by more than 130 per cent, compared to the same period in 2024. 🔝    I have to say that it's hard not to feel excited about the future of #BEVs, having spent a day driving the best-selling electric #Volkswagen in Austria – the ID. 7. I’m in the GTX* version this week, which is the most powerful of our ID. models. As well as being comfortable over long distances, it’s efficient – with energy consumption as little as 19 kWh/100 km yesterday.   Today it’s all about Switzerland. 🇨🇭  *ID.7 GTX Tourer - Combined power consumption 18.8-16.6 kWh/100 km; combined CO₂ emissions 0 g/km; CO₂ class: A.",333,317,3,7,9,14,"https://media.licdn.com/dms/image/v2/D4E22AQEAO7fiF0Yclg/feedshare-shrink_2048_1536/B4EZalPT9nH4Ao-/0/1746528985741?e=1749686400&v=beta&t=FjmhaLGgtQvQhutnea6gNYTSbHYCRFWf5vPEs6bG9kI, https://media.licdn.com/dms/image/v2/D4E22AQEt5O36cGVWtw/feedshare-shrink_2048_1536/B4EZalPT8cHoAo-/0/1746528979082?e=1749686400&v=beta&t=wgzEjSy84jreqXrOLy3v2MNDOSAg3yXol4wwi2bZ80A, https://media.licdn.com/dms/image/v2/D4E22AQH-XClSuk_hcw/feedshare-shrink_2048_1536/B4EZalPT8CHYAs-/0/1746528979429?e=1749686400&v=beta&t=k-8GXXYxE-Vi9LVhzX0aYiN6sCm248ei75JBo595IlU, https://media.licdn.com/dms/image/v2/D4E22AQFX8phviabyEg/feedshare-shrink_2048_1536/B4EZalPT8cH4As-/0/1746528978967?e=1749686400&v=beta&t=CqDlI0NyMI2vTBBwzKhX3TkbOupCqTYmiCJPv1E3vFE, https://media.licdn.com/dms/image/v2/D4E22AQGKmhx5-Oychg/feedshare-shrink_2048_1536/B4EZalPT8bHoAo-/0/1746528979591?e=1749686400&v=beta&t=Rr35NVe9ZJTZEnpD9o_2jDRXEU1y1BqT36fI-tQ7SYA"
https://www.linkedin.com/posts/volkswagen_q1-figures-2025-volkswagen-passenger-cars-activity-7323979650861305858-0_af?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-05-02 10:00:21,"In the first quarter of 2025, we achieved sales of 726,267 vehicles at Volkswagen Passenger Cars* - an increase of 4.6% compared to the previous year. We would like to thank all our customers! 🙏   ➡️ Important reasons for this were increased sales of the ID.4, ID.7, T-Cross and Tiguan models as well as the successful market launch of the Tayron.  ➡️ The operating result fell by 84.9% to 112 million euros after special items. Provisions in connection with CO2 regulation in Europe had a particularly negative impact on the result. In addition, there were expenses from legal disputes in connection with the diesel issue as well as expenses related to import duties introduced in the United States.   ➡️ For these reasons the Volkswagen brand's operating margin fell to 0.5% compared to 3.9% in the previous year.   ➡️ With our performance programme and the ‘Future Volkswagen’ agreement, we will nevertheless achieve our agreed return target of 4% for the brand in 2025.   #Volkswagen    *without China, incl. third-party production",169,158,1,7,2,8,
https://www.linkedin.com/posts/volkswagen_starwarsday-maythe4th-maythe4thbewithyou-activity-7324693882854666240-QJhD?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFqN3igBIoK1bycUy62SMGDQZ4M4IpUbw74,2025-05-04 09:18:27,Storm-proven. Future-driven. Happy #StarWarsDay and May the 4th Be With You!  #MayThe4th #MayThe4thBeWithYou #StarWars #VW #ID7 #Volkswagen,455,407,30,15,14,37,https://dms.licdn.com/playlist/vid/v2/D4E05AQFOGLcAzxK3uQ/mp4-720p-30fp-crf28/B4EZaaKAFsGYBU-/0/1746343106594?e=1747476000&v=beta&t=mTCgJojlZ5QwboY_9UG8vQm6RKRXlSjpXo7PFgdllt8
